Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Filali, Liza; Puissegur, Marie-Pierre; Cortacero, Kevin; Cussat-Blanc, Sylvain; Khazen, Roxana; Van Acker, Nathalie; Frenois, François-Xavier; Abreu, Arnaud; Lamant, Laurence; Meyer, Nicolas; ",Ultrarapid lytic granule release from CTLs activates Ca2+-dependent synaptic resistance pathways in melanoma cells,Science Advances,8,7,eabk3234,2022,American Association for the Advancement of Science
"Reshma, Ismat Ara; Franchet, Camille; Gaspard, Margot; Ionescu, Radu Tudor; Mothe, Josiane; Cussat-Blanc, Sylvain; Luga, Hervé; Brousset, Pierre; ",Finding a Suitable Class Distribution for Building Histological Images Datasets Used in Deep Model Training—The Case of Cancer Detection,Journal of Digital Imaging,35,5,1326-1349,2022,Springer International Publishing Cham
"Biau, Julien; Wilson, Dennis; Cussat-Blanc, Sylvain; Luga, Hervé; ",Improving Image Filters with Cartesian Genetic Programming,Proceedings of the 13th International Joint Conference on Computational Intelligence,2021,,,2021,
"Cussat-Blanc, Sylvain; Bredeche, Nicolas; Luga, Hervé; Duthen, Yves; Schoenauer, Marc; ",Artificial gene regulatory networks and spatial computation: A case study (full article),Artificial Life Conference Proceedings 23,,,32,2011,"MIT Press One Broadway, 12th Floor, Cambridge, Massachusetts 02142, USA …"
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",Emergent communication for coordination in teams of embodied agents,4th International Workshop on Agent-Based Modelling of Human Behaviour (ALife2022),,,,2022,
"Godin-Dubois, Kevin; Cussat-Blanc, Sylvain; Duthen, Yves; ",Explaining the Neuroevolution of Fighting Creatures Through Virtual fMRI,Artificial life,29,1,66-93,2023,"MIT Press One Broadway, 12th Floor, Cambridge, Massachusetts 02142, USA …"
"Reshma, Ismat Ara; Mothe, Josiane; Cussat-Blanc, Sylvain; Luga, Hervé; Franchet, Camille; Gaspard, Margot; Brousset, Pierre; Ionescu, Radu Tudor; ",A Study on the Impact of Class Distribution on Deep Learning-The Case of Histological Images and Cancer Detection,2nd Joint Conference of the Information Retrieval Communities in Europe (CIRCLE 2022),3178,26,1-5,2022,
"de Bataille, Caroline; Bernard, David; Dumoncel, Jean; Vaysse, Frédéric; Cussat-Blanc, Sylvain; Telmon, Norbert; Maret, Delphine; Monsarrat, Paul; ",Machine Learning Analysis of the Anatomical Parameters of the Upper Airway Morphology: A Retrospective Study from Cone-Beam CT Examinations in a French Population,Journal of Clinical Medicine,12,1,84,2022,MDPI
"Cussat-Blanc, Sylvain; Castets-Renard, Céline; Monsarrat, Paul; ",Doctors in Medical Data Sciences: A New Curriculum,International Journal of Environmental Research and Public Health,20,1,675,2022,MDPI
"Bernard, David; Cussat-Blanc, Sylvain; Giabbanelli, Philippe; ",Fast Generation of Heterogeneous Mental Models from Longitudinal Data by Combining Genetic Algorithms and Fuzzy Cognitive Maps,,,,,2023,
"Cortacero, Kévin; McKenzie, Brienne; Müller, Sabina; Khazen, Roxana; Lafouresse, Fanny; Corsaut, Gaëlle; Van Acker, Nathalie; Frenois, François-Xavier; Lamant, Laurence; Meyer, Nicolas; ",Kartezio: Evolutionary Design of Explainable Pipelines for Biomedical Image Analysis,arXiv preprint arXiv:2302.14762,,,,2023,
"Bernard, David; Doumard, Emmanuel; Ader, Isabelle; Kemoun, Philippe; Pagès, Jean‐Christophe; Galinier, Anne; Cussat‐Blanc, Sylvain; Furger, Felix; Ferrucci, Luigi; Aligon, Julien; ",Explainable machine learning framework to predict personalized physiological aging,Aging Cell,,,e13872,2023,
"Cogoni, Florian; Bernard, David; Kazhen, Roxana; Valitutti, Salvatore; Lobjois, Valérie; Cussat-Blanc, Sylvain; ",ISiCell: involving biologists in the design process of agent-based models in cell biology,bioRxiv,,,2023.06. 30.547165,2023,Cold Spring Harbor Laboratory
"Lavinas, Yuri; Cortacero, Kevin; Cussat-Blanc, Sylvain; ",Evolving Graphs with Cartesian Genetic Programming with Lexicase Selection,Proceedings of the Companion Conference on Genetic and Evolutionary Computation,,,1920-1924,2023,
